iter	Passed	Remaining
0	135	13455
1	136	6681
2	136	4422
3	137	3293
4	137	2616
5	138	2164
6	138	1840
7	138	1597
8	139	1407
9	139	1256
10	139	1132
11	140	1029
12	140	941
13	141	866
14	141	801
15	141	744
16	142	694
17	142	649
18	142	609
19	143	572
20	143	540
21	144	510
22	144	483
23	144	458
24	145	435
25	145	413
26	145	394
27	146	375
28	146	358
29	146	342
30	147	327
31	147	313
32	148	300
33	148	287
34	148	276
35	149	265
36	149	254
37	149	244
38	149	234
39	150	225
40	150	216
41	151	208
42	151	200
43	151	193
44	152	185
45	152	178
46	152	172
47	153	165
48	153	159
49	153	153
50	154	148
51	154	142
52	154	137
53	155	132
54	155	127
55	155	122
56	156	117
57	156	113
58	157	109
59	157	104
60	157	100
61	158	96
62	158	93
63	158	89
64	159	85
65	159	82
66	159	78
67	160	75
68	160	72
69	161	69
70	161	65
71	161	62
72	162	59
73	162	57
74	162	54
75	163	51
76	163	48
77	164	46
78	164	43
79	164	41
80	165	38
81	165	36
82	165	33
83	166	31
84	166	29
85	166	27
86	167	25
87	167	22
88	168	20
89	168	18
90	168	16
91	169	14
92	169	12
93	169	10
94	170	8
95	170	7
96	170	5
97	171	3
98	171	1
99	171	0
