iter	Passed	Remaining
0	63	63530
1	64	31987
2	64	21466
3	65	16202
4	65	13048
5	66	10939
6	66	9441
7	67	8341
8	67	7462
9	68	6755
10	68	6179
11	69	5697
12	69	5289
13	70	4941
14	70	4638
15	71	4373
16	71	4139
17	72	3931
18	72	3753
19	73	3591
20	73	3439
21	74	3301
22	74	3174
23	75	3058
24	75	2951
25	76	2852
26	76	2761
27	77	2676
28	77	2596
29	78	2522
30	78	2455
31	79	2391
32	79	2331
33	80	2274
34	80	2220
35	81	2169
36	81	2121
37	81	2075
38	82	2034
39	83	1993
40	83	1953
41	84	1916
42	84	1881
43	85	1848
44	85	1815
45	86	1784
46	86	1754
47	86	1725
48	87	1697
49	87	1671
50	88	1645
51	88	1621
52	89	1598
53	89	1575
54	90	1555
55	91	1536
56	91	1516
57	92	1496
58	92	1476
59	93	1457
60	93	1439
61	93	1421
62	94	1404
63	94	1388
64	95	1372
65	95	1357
66	96	1343
67	97	1330
68	97	1316
69	98	1302
70	98	1289
71	98	1275
72	99	1263
73	99	1250
74	100	1238
75	100	1226
76	101	1214
77	101	1203
78	102	1192
79	102	1182
80	103	1172
81	103	1162
82	104	1149
83	104	1140
84	105	1130
85	105	1121
86	105	1112
87	106	1103
88	106	1094
89	107	1085
90	107	1077
91	108	1069
92	108	1061
93	109	1056
94	110	1048
95	110	1040
96	110	1033
97	111	1025
98	111	1018
99	112	1011
100	112	1004
101	113	997
102	113	990
103	114	984
104	114	977
105	115	972
106	115	966
107	116	960
108	116	954
109	117	948
110	117	942
111	118	937
112	118	931
113	119	925
114	119	920
115	120	914
116	120	908
117	120	903
118	121	899
119	122	894
120	122	890
121	123	885
122	123	881
123	124	876
124	124	872
125	125	868
126	125	863
127	126	859
128	126	855
129	127	850
130	127	846
131	128	842
132	128	838
133	129	834
134	129	830
135	130	826
136	130	824
137	131	820
138	131	816
139	132	812
140	132	809
141	133	804
142	133	800
143	134	797
144	134	793
145	135	790
146	135	786
147	136	783
148	136	780
149	137	776
150	137	773
151	138	770
152	138	766
153	138	763
154	139	759
155	139	757
156	140	754
157	140	751
158	141	748
159	141	745
160	142	741
161	142	738
162	143	735
163	143	732
164	144	729
165	144	726
166	145	723
167	145	720
168	146	717
169	146	715
170	147	713
171	147	710
172	148	707
173	148	705
174	148	702
175	149	699
176	149	697
177	150	694
178	150	691
179	151	689
180	151	686
181	152	684
182	152	682
183	153	680
184	153	677
185	154	675
186	154	672
187	155	670
188	155	668
189	156	665
190	156	663
191	157	661
192	157	658
193	158	656
194	158	654
195	159	655
196	160	653
197	160	650
198	161	648
199	161	646
200	162	644
201	162	642
202	163	640
203	163	637
204	163	635
205	164	633
206	164	631
207	165	630
208	166	628
209	166	626
210	167	624
211	167	622
212	168	620
213	168	618
214	168	616
215	169	615
216	169	613
217	170	611
218	170	609
219	171	607
220	171	605
221	172	604
222	172	602
223	173	600
224	173	599
225	174	597
226	174	595
227	175	594
228	176	593
229	176	592
230	177	591
231	178	589
232	178	588
233	179	587
234	179	585
235	180	584
236	180	582
237	181	580
238	181	579
239	182	577
240	182	575
241	183	574
242	184	573
243	184	572
244	185	570
245	185	569
246	186	567
247	186	566
248	187	564
249	187	563
250	188	561
251	188	560
252	189	558
253	189	557
254	190	555
255	190	554
256	191	552
257	191	551
258	192	549
259	192	548
260	193	546
261	193	545
262	194	543
263	194	542
264	195	541
265	195	539
266	196	538
267	196	537
268	197	535
269	197	534
270	198	532
271	198	531
272	199	530
273	199	528
274	199	527
275	200	525
276	200	524
277	201	522
278	201	521
279	202	520
280	203	519
281	203	518
282	203	516
283	204	515
284	204	514
285	205	512
286	205	511
287	206	510
288	206	508
289	207	507
290	207	506
291	208	505
292	208	503
293	209	502
294	209	501
295	210	500
296	210	498
297	211	497
298	211	496
299	212	494
300	212	493
301	213	492
302	213	491
303	214	490
304	214	488
305	215	487
306	215	486
307	216	485
308	216	484
309	216	482
310	217	481
311	217	480
312	218	479
313	218	478
314	219	476
315	219	475
316	220	474
317	220	473
318	221	472
319	221	471
320	222	469
321	222	468
322	223	467
323	223	466
324	224	465
325	224	464
326	225	463
327	225	461
328	225	460
329	226	459
330	226	458
331	227	457
332	227	456
333	228	455
334	228	454
335	229	453
336	229	452
337	230	450
338	230	449
339	231	448
340	231	447
341	232	446
342	232	445
343	233	444
344	233	443
345	234	442
346	234	441
347	235	440
348	235	439
349	235	438
350	236	437
351	236	436
352	237	434
353	237	433
354	238	432
355	238	431
356	239	430
357	239	429
358	240	429
359	240	427
360	241	426
361	241	425
362	242	424
363	242	423
